imdb_id,avg_rating,vote_count
tt0058777,7.7,44307
tt0058946,8.1,70337
tt0059127,6.6,11353
tt0059243,7.2,20647
tt0059245,6.6,12396
tt0059418,6.7,9141
tt0059573,8.0,9873
tt0059797,7.0,9500
tt0059825,7.8,20410
tt0060196,8.8,847548
tt0060397,6.8,21626
tt0060490,6.8,11448
tt0060491,6.5,3803
tt0060665,7.7,38490
tt0060934,7.5,17121
tt0061107,6.6,30496
tt0061184,8.0,82134
tt0061452,5.0,33592
tt0061512,8.0,193882
tt0061523,6.1,7259
tt0061578,7.7,81382
tt0061584,6.2,10631
tt0061619,7.5,31879
tt0061747,7.0,45511
tt0061770,7.4,14539
tt0061809,7.9,30530
tt0061955,7.2,10804
tt0062138,7.3,24584
tt0062430,6.0,10203
tt0062467,7.7,35027
tt0062622,8.3,749025
tt0062711,5.9,39147
tt0062765,7.4,78476
tt0062794,6.9,7503
tt0062994,7.4,26182
tt0063035,5.6,14244
tt0063385,7.4,42877
tt0063442,8.0,204015
tt0063592,5.6,3641
tt0063642,6.4,2327
tt0064116,8.5,365753
tt0064406,5.7,639
tt0064418,7.0,17650
tt0064782,6.6,15469
tt0065054,6.9,7233
tt0065112,6.2,20342
tt0065207,7.6,65201
tt0065214,7.9,92677
tt0065446,7.2,10909
tt0065462,6.0,55597
tt0065528,7.1,27304
tt0065938,7.6,56039
tt0065988,7.5,38883
tt0066090,6.8,4488
tt0066115,4.5,3583
tt0066206,7.9,110765
tt0066249,7.0,14050
tt0066434,6.6,56070
tt0066473,7.5,38442
tt0066549,7.3,13443
tt0066601,6.9,17650
tt0066769,7.2,41864
tt0066808,6.9,38751
tt0066817,7.1,41928
tt0066826,6.3,2347
tt0066999,7.7,174215
tt0067065,6.3,42855
tt0067093,8.0,49641
tt0067741,6.6,21882
tt0067800,7.4,66205
tt0067992,7.8,235857
tt0068408,6.1,38975
tt0068421,7.4,16544
tt0068555,6.7,42685
tt0068611,7.4,51152
tt0068699,7.4,67046
tt0069257,6.0,3735
tt0069768,5.4,36502
tt0069976,6.9,6122
tt0070165,6.5,3931
tt0070379,7.2,123605
tt0070511,8.0,141773
tt0070518,7.2,22199
tt0070608,7.5,143876
tt0070666,7.7,140217
tt0070679,5.9,3337
tt0070707,7.1,45584
tt0071315,8.1,363054
tt0071360,7.7,129401
tt0071402,6.9,45788
tt0071562,9.0,1420450
tt0071577,6.4,27502
tt0072081,7.0,30913
tt0072226,6.7,20444
tt0072308,7.0,50130
tt0072665,5.3,1463
tt0072684,8.1,191749
tt0072761,5.7,3347
tt0072973,7.0,10196
tt0073092,7.2,12759
tt0073312,7.6,42140
tt0073317,5.2,1427
tt0073812,6.6,23440
tt0074119,7.9,130594
tt0074174,7.3,26097
tt0074279,5.5,5486
tt0074483,6.7,51038
tt0074512,6.8,25710
tt0074706,6.1,1517
tt0074751,6.0,36841
tt0074812,6.8,63072
tt0074860,7.4,72398
tt0074958,8.1,178080
tt0075029,7.8,82817
tt0075066,7.1,33143
tt0075223,6.9,22561
tt0075268,5.6,5291
tt0075648,5.8,13012
tt0075686,7.9,283302
tt0075784,7.4,64262
tt0075909,5.3,6091
tt0076009,3.8,29499
tt0076070,6.4,26090
tt0076141,6.6,24549
tt0076263,7.2,7794
tt0076299,6.9,11564
tt0076504,5.8,13948
tt0076716,6.4,9052
tt0076740,7.7,30544
tt0076809,3.8,4748
tt0076929,6.3,13600
tt0077369,6.3,19814
tt0077394,6.2,38557
tt0077413,7.3,42025
tt0077416,8.1,373698
tt0077530,6.2,12940
tt0077572,6.4,20480
tt0077588,6.3,18073
tt0077745,7.4,75316
tt0077766,5.8,87612
tt0077869,6.2,37668
tt0078346,7.4,195158
tt0078444,7.2,6389
tt0078480,7.5,41207
tt0078504,5.6,18114
tt0078723,5.8,37440
tt0078740,4.5,7236
tt0078748,8.5,1009534
tt0078788,8.4,737680
tt0078869,5.9,28985
tt0078902,7.7,26468
tt0078966,7.4,34390
tt0079116,7.6,154404
tt0079180,6.3,11915
tt0079336,7.3,10509
tt0079470,8.0,427885
tt0079574,6.3,112361
tt0079576,5.4,5261
tt0079758,5.6,6536
tt0079826,7.0,9547
tt0079945,6.4,99243
tt0080024,6.4,3831
tt0080120,7.5,114950
tt0080360,6.9,40034
tt0080365,6.3,30829
tt0080388,7.3,18852
tt0080421,5.5,10791
tt0080437,7.1,22080
tt0080455,7.9,221079
tt0080487,7.2,130611
tt0080491,5.3,40010
tt0080549,7.5,21205
tt0080661,7.1,52207
tt0080678,8.2,271129
tt0080745,6.5,63693
tt0080771,3.7,3569
tt0080855,6.7,18184
tt0080881,6.2,5416
tt0081071,6.9,13826
tt0081398,8.1,393593
tt0081439,5.7,1613
tt0081455,6.7,64372
tt0081505,8.4,1159711
tt0081554,7.2,24484
tt0081573,6.8,118471
tt0081633,6.9,71472
tt0081698,6.7,17624
tt0081747,4.6,3391
tt0081777,5.4,16053
tt0081974,6.9,15837
tt0082005,5.8,982
tt0082010,7.5,127736
tt0082085,7.4,68994
tt0082096,8.4,278001
tt0082136,6.2,41689
tt0082186,6.9,49247
tt0082198,6.9,167536
tt0082242,6.5,15733
tt0082288,6.6,20760
tt0082340,7.1,164720
tt0082348,7.3,69816
tt0082398,6.7,111535
tt0082406,7.2,105829
tt0082432,7.4,43105
tt0082464,6.8,1367
tt0082484,7.3,25170
tt0082497,5.5,6948
tt0082507,4.3,1744
tt0082517,6.8,56691
tt0082525,5.2,1256
tt0082648,4.9,2645
tt0082801,5.5,8941
tt0082817,6.3,22657
tt0082869,6.6,33541
tt0082894,6.5,6502
tt0082948,5.1,4524
tt0082979,7.3,25527
tt0083000,6.6,9987
tt0083001,6.1,4917
tt0083113,5.2,1887
tt0083131,6.8,82441
